"编号","楼层","机房","列","机柜","设备类型","U起","U止","位置描述"
"1","1","101机房","D","I","IDS","17","17","101机房DI机柜17U-17U"
"2","1","101机房","D","A","IPS","15","18","101机房DA机柜15U-18U"
"3","1","101机房","D","L","防火墙","21","23","101机房DL机柜21U-23U"
"4","1","101机房","C","K","WAF","29","29","101机房CK机柜29U-29U"
"5","1","101机房","D","F","VPN网关","30","32","101机房DF机柜30U-32U"
"6","1","101机房","A","I","日志审计","10","13","101机房AI机柜10U-13U"
"7","1","101机房","A","O","堡垒机","4","7","101机房AO机柜4U-7U"
"8","1","101机房","A","N","网闸","27","27","101机房AN机柜27U-27U"
"9","1","101机房","A","E","IDS","13","16","101机房AE机柜13U-16U"
"10","1","101机房","D","G","IPS","17","20","101机房DG机柜17U-20U"
"11","1","101机房","C","A","防火墙","28","30","101机房CA机柜28U-30U"
"12","1","101机房","D","J","WAF","14","16","101机房DJ机柜14U-16U"
"13","1","101机房","C","H","VPN网关","8","8","101机房CH机柜8U-8U"
"14","1","101机房","D","K","日志审计","35","36","101机房DK机柜35U-36U"
"15","1","101机房","C","O","堡垒机","33","33","101机房CO机柜33U-33U"
"16","1","101机房","A","B","网闸","32","35","101机房AB机柜32U-35U"
"17","1","101机房","B","C","IDS","7","7","101机房BC机柜7U-7U"
"18","1","101机房","C","E","IPS","21","24","101机房CE机柜21U-24U"
"19","1","101机房","C","O","防火墙","11","13","101机房CO机柜11U-13U"
"20","1","101机房","A","B","WAF","42","42","101机房AB机柜42U-42U"
"21","1","101机房","C","K","VPN网关","25","25","101机房CK机柜25U-25U"
"22","1","101机房","C","A","日志审计","2","3","101机房CA机柜2U-3U"
"23","1","101机房","B","I","堡垒机","18","21","101机房BI机柜18U-21U"
"24","1","101机房","A","I","网闸","23","26","101机房AI机柜23U-26U"
"25","1","101机房","B","B","IDS","36","38","101机房BB机柜36U-38U"
"26","1","101机房","D","H","IPS","27","30","101机房DH机柜27U-30U"
"27","1","101机房","A","D","防火墙","4","4","101机房AD机柜4U-4U"
"28","1","101机房","D","L","WAF","15","15","101机房DL机柜15U-15U"
"29","1","101机房","D","M","VPN网关","7","9","101机房DM机柜7U-9U"
"30","1","101机房","C","K","日志审计","33","35","101机房CK机柜33U-35U"
"31","1","101机房","D","D","堡垒机","34","34","101机房DD机柜34U-34U"
"32","1","101机房","C","A","网闸","19","22","101机房CA机柜19U-22U"
"33","1","101机房","A","H","IDS","30","30","101机房AH机柜30U-30U"
"34","1","101机房","B","P","IPS","36","36","101机房BP机柜36U-36U"
"35","1","101机房","D","I","防火墙","29","32","101机房DI机柜29U-32U"
"36","1","101机房","D","J","WAF","1","3","101机房DJ机柜1U-3U"
"37","1","101机房","C","I","VPN网关","32","33","101机房CI机柜32U-33U"
"38","1","101机房","B","G","日志审计","25","26","101机房BG机柜25U-26U"
"39","1","101机房","D","L","堡垒机","2","5","101机房DL机柜2U-5U"
"40","1","101机房","C","I","网闸","5","8","101机房CI机柜5U-8U"
